CH1 (V)	CH2 (V)	CH3 (V)
-1.156	1.187	13.840
-1.155	1.186	13.840
-1.143	1.188	13.841
-1.110	1.190	13.844
-1.083	1.185	13.839
-1.042	1.188	13.842
-0.996	1.190	13.844
-0.988	1.187	13.840
-0.967	1.186	13.840
-0.940	1.186	13.842
-0.919	1.187	13.840
-0.900	1.186	13.841
-0.887	1.187	13.841
-0.886	1.186	13.840
-0.888	1.185	13.842
-0.843	1.186	13.841
-0.806	1.188	13.842
-0.785	1.185	13.842
-0.759	1.187	13.842
-0.729	1.189	13.845
-0.712	1.187	13.843
-0.694	1.187	13.842
-0.691	1.186	13.842
-0.696	1.185	13.841
-0.664	1.185	13.842
-0.632	1.185	13.842
-0.611	1.186	13.842
-0.595	1.185	13.842
-0.574	1.187	13.843
-0.558	1.187	13.843
-0.538	1.185	13.843
-0.519	1.185	13.843
-0.500	1.185	13.841
-0.489	1.188	13.846
-0.493	1.185	13.844
-0.453	1.183	13.839
-0.412	1.185	13.843
-0.394	1.182	13.839
-0.366	1.185	13.845
-0.355	1.183	13.840
-0.332	1.185	13.844
-0.325	1.183	13.840
-0.298	1.185	13.789
-0.293	1.181	13.149
-0.284	1.181	12.871
-0.288	1.182	12.930
-0.271	1.181	12.095
-0.247	1.182	11.004
-0.216	1.186	10.013
-0.197	1.184	9.117
-0.186	1.183	8.443
-0.180	1.180	7.711
-0.167	1.181	7.453
-0.143	1.187	6.727
-0.142	1.185	6.479
-0.148	1.178	6.180
-0.125	1.187	5.932
-0.126	1.182	5.563
-0.130	1.181	5.673
-0.108	1.185	5.065
-0.081	1.187	3.712
-0.055	1.185	2.529
-0.029	1.186	1.490
-0.038	1.181	1.356
-0.039	1.183	1.356
-0.028	1.187	1.353
-0.057	1.181	2.101
-0.063	1.182	2.657
-0.071	1.181	2.899
-0.091	1.179	3.585
-0.087	1.186	4.080
-0.109	1.178	4.326
-0.102	1.184	4.696
-0.110	1.183	5.072
-0.117	1.188	5.627
-0.125	1.187	5.986
-0.136	1.187	6.490
-0.146	1.189	6.974
-0.163	1.187	7.630
-0.173	1.186	8.009
-0.191	1.183	8.763
-0.206	1.186	9.467
-0.219	1.185	10.008
-0.238	1.179	10.315
-0.238	1.183	10.735
-0.235	1.189	11.273
-0.247	1.189	11.887
-0.265	1.186	12.249
-0.293	1.179	12.922
-0.297	1.183	13.533
-0.301	1.187	13.848
-0.342	1.178	13.838
-0.343	1.182	13.840
-0.361	1.181	13.839
-0.380	1.186	13.848
-0.415	1.181	13.839
-0.428	1.179	13.837
-0.439	1.183	13.839
-0.433	1.190	13.849
-0.429	1.189	13.849
