CH1 (V)	CH2 (V)	CH3 (V)
-1.227	1.191	13.847
-1.222	1.193	13.849
-1.202	1.198	13.855
-1.184	1.202	13.857
-1.171	1.199	13.857
-1.167	1.194	13.849
-1.146	1.196	13.854
-1.134	1.194	13.850
-1.121	1.194	13.851
-1.123	1.191	13.846
-1.092	1.194	13.852
-1.077	1.196	13.852
-1.063	1.194	13.851
-1.042	1.201	13.859
-1.043	1.193	13.852
-1.026	1.194	13.853
-1.020	1.192	13.849
-0.985	1.200	13.859
-0.969	1.200	13.859
-0.954	1.202	13.859
-0.934	1.201	13.859
-0.939	1.192	13.852
-0.909	1.200	13.859
-0.891	1.200	13.858
-0.880	1.200	13.859
-0.892	1.191	13.847
-0.864	1.201	13.859
-0.879	1.192	13.851
-0.870	1.194	13.851
-0.863	1.196	13.853
-0.858	1.196	13.853
-0.834	1.198	13.857
-0.821	1.195	13.852
-0.797	1.201	13.858
-0.793	1.195	13.852
-0.787	1.195	13.852
-0.760	1.199	13.858
-0.750	1.198	13.856
-0.735	1.199	13.856
-0.731	1.198	13.858
-0.731	1.191	13.850
-0.718	1.194	13.851
-0.692	1.199	13.857
-0.676	1.202	13.859
-0.685	1.191	13.850
-0.669	1.193	13.850
-0.641	1.201	13.860
-0.647	1.194	13.854
-0.625	1.200	13.860
-0.618	1.196	13.855
-0.605	1.199	13.857
-0.614	1.193	13.852
-0.613	1.195	13.851
-0.591	1.196	13.856
-0.564	1.198	13.858
-0.563	1.194	13.729
-0.543	1.194	13.358
-0.529	1.194	13.086
-0.517	1.195	12.827
-0.505	1.198	12.631
-0.489	1.200	12.421
-0.485	1.194	12.007
-0.470	1.198	11.844
-0.476	1.191	11.588
-0.453	1.200	11.503
-0.455	1.199	11.524
-0.431	1.200	11.096
-0.430	1.192	10.542
-0.397	1.199	10.225
-0.401	1.189	9.856
-0.387	1.191	9.548
-0.377	1.192	9.329
-0.360	1.194	9.062
-0.361	1.189	8.860
-0.354	1.191	8.733
-0.329	1.196	8.486
-0.322	1.195	8.184
-0.293	1.200	7.818
-0.301	1.194	7.804
-0.304	1.196	7.804
-0.278	1.195	7.142
-0.261	1.194	6.790
-0.257	1.190	6.497
-0.240	1.195	6.300
-0.221	1.198	6.040
-0.226	1.194	5.959
-0.210	1.196	5.677
-0.204	1.195	5.485
-0.178	1.201	5.142
-0.180	1.195	4.907
-0.173	1.194	4.744
-0.165	1.195	4.516
-0.155	1.194	4.313
-0.149	1.191	3.991
-0.131	1.196	3.836
-0.125	1.194	3.606
-0.113	1.195	3.380
-0.103	1.194	3.087
-0.088	1.194	2.761
-0.080	1.195	2.565
