CH1 (V)	CH2 (V)	CH3 (V)
1.121	13.798	1.185
1.125	13.799	1.189
1.129	13.801	1.191
1.061	13.796	1.185
1.040	13.798	1.187
1.018	13.800	1.189
1.002	13.801	1.189
0.983	13.799	1.189
0.962	13.800	1.187
0.943	13.802	1.188
0.926	13.800	1.189
0.908	13.801	1.187
0.891	13.801	1.189
0.873	13.800	1.188
0.852	13.801	1.189
0.837	13.802	1.191
0.812	13.803	1.191
0.783	13.802	1.188
0.758	13.803	1.189
0.753	13.804	1.190
0.755	13.803	1.189
0.747	13.803	1.189
0.714	13.801	1.188
0.696	13.804	1.189
0.679	13.804	1.191
0.660	13.804	1.190
0.643	13.805	1.191
0.628	13.804	1.189
0.622	13.804	1.191
0.607	13.804	1.190
0.600	13.804	1.189
0.590	13.805	1.190
0.588	13.805	1.190
0.588	13.805	1.191
0.566	13.805	1.189
0.542	13.804	1.189
0.527	13.804	1.190
0.514	13.806	1.191
0.498	13.806	1.190
0.487	13.805	1.190
0.472	13.804	1.190
0.459	13.806	1.192
0.446	13.806	1.191
0.432	13.807	1.190
0.412	13.806	1.189
0.398	13.807	1.191
0.398	13.806	1.191
0.403	13.811	1.198
0.370	13.807	1.192
0.348	13.807	1.191
0.332	13.806	1.191
0.322	13.806	1.190
0.311	13.807	1.191
0.295	13.808	1.191
0.282	13.808	1.191
0.261	13.808	1.192
0.252	13.487	1.191
0.234	12.733	1.191
0.226	12.345	1.191
0.215	11.819	1.191
0.206	11.419	1.190
0.206	11.393	1.191
0.211	11.285	1.196
0.177	10.034	1.191
0.171	9.306	1.197
0.150	8.759	1.191
0.129	7.814	1.191
0.115	7.145	1.191
0.103	6.604	1.191
0.082	5.628	1.191
0.067	4.777	1.194
0.056	4.047	1.197
0.038	3.310	1.195
0.023	2.579	1.194
0.014	2.394	1.190
0.023	2.338	1.199
0.017	2.228	1.196
0.017	2.227	1.192
0.013	2.333	1.193
0.013	2.319	1.193
0.031	2.886	1.196
0.045	3.432	1.194
0.058	4.164	1.192
0.081	5.251	1.196
0.081	5.579	1.192
0.114	6.667	1.198
0.127	7.205	1.195
0.142	8.116	1.197
0.152	8.600	1.194
0.176	9.676	1.196
0.186	10.291	1.193
0.218	11.609	1.194
0.244	12.600	1.196
0.255	13.178	1.196
0.273	13.814	1.196
0.287	13.811	1.194
0.298	13.810	1.194
0.316	13.811	1.195
0.325	13.810	1.196
0.351	13.811	1.196
