CH1 (V)	CH2 (V)	CH3 (V)
1.148	13.800	1.184
1.153	13.805	1.189
1.147	13.800	1.185
1.066	13.800	1.183
1.037	13.798	1.183
1.000	13.798	1.183
0.977	13.800	1.185
0.946	13.800	1.185
0.929	13.800	1.183
0.914	13.800	1.183
0.901	13.800	1.185
0.883	13.802	1.187
0.872	13.801	1.183
0.868	13.798	1.181
0.845	13.799	1.183
0.814	13.802	1.184
0.788	13.800	1.183
0.761	13.800	1.183
0.738	13.802	1.185
0.712	13.800	1.183
0.691	13.799	1.182
0.679	13.802	1.185
0.675	13.801	1.185
0.668	13.800	1.183
0.661	13.801	1.185
0.649	13.802	1.184
0.643	13.801	1.183
0.645	13.802	1.185
0.645	13.801	1.183
0.622	13.801	1.183
0.601	13.802	1.185
0.590	13.802	1.183
0.582	13.801	1.183
0.566	13.803	1.185
0.553	13.801	1.185
0.547	13.801	1.185
0.534	13.802	1.184
0.527	13.802	1.185
0.515	13.803	1.185
0.501	13.719	1.184
0.489	13.446	1.183
0.483	13.314	1.185
0.472	13.039	1.185
0.467	12.896	1.185
0.467	12.897	1.186
0.453	12.620	1.185
0.425	11.958	1.183
0.408	11.544	1.183
0.390	11.140	1.183
0.368	10.697	1.183
0.356	10.338	1.183
0.344	10.080	1.183
0.334	9.871	1.184
0.324	9.601	1.185
0.317	9.426	1.185
0.317	9.438	1.185
0.289	8.788	1.184
0.262	8.152	1.184
0.246	7.824	1.183
0.230	7.431	1.184
0.218	7.148	1.185
0.202	6.793	1.183
0.192	6.535	1.183
0.167	6.228	1.177
0.168	5.985	1.185
0.156	5.742	1.181
0.156	5.620	1.190
0.139	5.347	1.183
0.135	5.241	1.184
0.127	5.094	1.182
0.137	5.211	1.188
0.100	4.408	1.184
0.089	4.227	1.183
0.075	3.853	1.183
0.058	3.449	1.184
0.046	3.201	1.183
0.046	3.018	1.187
0.027	2.797	1.183
0.019	2.551	1.183
0.002	2.206	1.179
-0.006	2.145	1.179
-0.010	2.050	1.178
-0.004	1.992	1.183
-0.002	1.992	1.183
-0.002	2.057	1.183
0.010	2.393	1.181
0.015	2.608	1.178
0.023	2.765	1.181
0.034	3.195	1.179
0.057	3.356	1.187
0.054	3.389	1.186
0.058	3.388	1.186
0.084	3.949	1.185
0.104	4.717	1.179
0.133	5.208	1.183
0.135	5.513	1.176
0.151	5.891	1.179
0.183	6.339	1.185
0.202	6.802	1.185
0.219	7.364	1.182
