CH1 (V)	CH2 (V)
0.279	7.562
0.288	7.573
0.284	7.516
0.284	7.513
0.280	7.423
0.271	7.374
0.269	7.276
0.262	7.169
0.257	7.002
0.256	6.937
0.254	6.802
0.246	6.670
0.241	6.562
0.240	6.463
0.235	6.259
0.240	6.201
0.233	6.045
0.218	5.950
0.213	5.721
0.208	5.602
0.202	5.464
0.199	5.264
0.196	5.136
0.191	4.944
0.189	4.811
0.184	4.664
0.181	4.500
0.179	4.356
0.175	4.242
0.171	4.125
0.163	3.942
0.164	3.824
0.158	3.665
0.155	3.521
0.151	3.394
0.144	3.302
0.144	3.162
0.139	3.019
0.137	2.886
0.135	2.813
0.123	2.655
0.120	2.481
0.120	2.280
0.111	2.035
0.104	1.859
0.101	1.669
0.096	1.456
0.096	1.228
0.094	1.050
0.084	0.903
0.072	0.762
0.090	0.674
0.087	0.550
0.095	0.468
0.068	0.392
0.085	0.313
0.079	0.224
0.077	0.114
0.073	0.018
0.070	-0.010
0.071	-0.008
0.064	-0.011
0.066	-0.009
0.053	-0.014
0.062	-0.008
0.058	-0.008
0.054	-0.009
0.049	-0.008
0.048	-0.009
0.042	-0.010
0.044	-0.009
0.043	-0.008
0.041	-0.009
0.037	-0.007
0.040	-0.008
0.030	-0.008
0.023	-0.009
0.021	-0.009
0.015	-0.009
0.008	-0.008
0.004	-0.008
-0.000	-0.007
-0.010	-0.013
-0.008	-0.009
-0.009	-0.008
-0.008	-0.005
-0.010	-0.009
-0.011	-0.009
-0.009	-0.008
-0.010	-0.009
-0.011	-0.009
-0.011	-0.009
-0.011	-0.009
-0.013	-0.010
-0.009	-0.009
-0.013	-0.009
-0.013	-0.011
-0.013	-0.009
-0.012	-0.010
-0.013	-0.009
