CH1 (V)	CH2 (V)
-0.246	-14.637
-0.246	-14.595
-0.239	-14.535
-0.230	-14.451
-0.225	-14.317
-0.230	-14.172
-0.219	-13.960
-0.218	-13.743
-0.221	-13.675
-0.212	-13.457
-0.203	-13.303
-0.206	-13.103
-0.196	-12.982
-0.205	-12.830
-0.204	-12.767
-0.192	-12.573
-0.198	-12.427
-0.183	-12.321
-0.192	-12.166
-0.196	-12.113
-0.190	-11.924
-0.185	-11.880
-0.173	-11.601
-0.180	-11.507
-0.177	-11.317
-0.174	-11.157
-0.173	-11.042
-0.168	-10.864
-0.163	-10.712
-0.163	-10.405
-0.160	-10.189
-0.157	-10.111
-0.157	-9.870
-0.159	-9.761
-0.157	-9.637
-0.146	-9.294
-0.144	-9.136
-0.147	-8.865
-0.143	-8.685
-0.141	-8.345
-0.142	-8.197
-0.137	-8.025
-0.135	-7.881
-0.134	-7.658
-0.134	-7.580
-0.129	-7.298
-0.130	-7.283
-0.127	-7.010
-0.125	-6.874
-0.121	-6.724
-0.122	-6.666
-0.118	-6.523
-0.118	-6.343
-0.116	-6.216
-0.115	-6.078
-0.113	-6.055
-0.115	-5.786
-0.115	-5.804
-0.112	-5.619
-0.108	-5.457
-0.103	-5.198
-0.101	-4.912
-0.099	-4.726
-0.096	-4.504
-0.098	-4.306
-0.095	-4.065
-0.099	-3.816
-0.091	-3.618
-0.090	-3.488
-0.088	-3.187
-0.080	-2.890
-0.082	-2.750
-0.082	-2.547
-0.075	-2.166
-0.065	-1.910
-0.075	-1.586
-0.077	-1.388
-0.073	-1.199
-0.070	-0.906
-0.053	-0.667
-0.045	-0.283
-0.042	-0.009
-0.054	-0.016
-0.034	-0.007
-0.043	-0.013
-0.027	-0.009
-0.022	-0.007
-0.017	-0.009
-0.017	-0.009
-0.016	-0.008
-0.015	-0.009
-0.016	-0.009
-0.018	-0.010
-0.017	-0.011
-0.011	-0.009
-0.014	-0.008
-0.017	-0.009
-0.017	-0.011
-0.015	-0.011
-0.009	-0.007
