CH1 (V)	CH2 (V)
-0.281	-7.991
-0.284	-7.812
-0.286	-7.898
-0.272	-7.840
-0.265	-7.704
-0.261	-7.627
-0.263	-7.520
-0.247	-7.209
-0.252	-7.216
-0.246	-6.913
-0.246	-6.837
-0.236	-6.660
-0.231	-6.486
-0.229	-6.304
-0.224	-6.137
-0.222	-6.066
-0.220	-5.899
-0.215	-5.753
-0.212	-5.683
-0.210	-5.522
-0.206	-5.487
-0.204	-5.235
-0.203	-5.187
-0.201	-5.104
-0.198	-4.997
-0.199	-4.872
-0.199	-4.772
-0.203	-4.785
-0.195	-4.688
-0.192	-4.623
-0.188	-4.486
-0.183	-4.330
-0.184	-4.291
-0.182	-4.099
-0.176	-3.966
-0.176	-3.905
-0.171	-3.743
-0.169	-3.611
-0.172	-3.536
-0.171	-3.493
-0.169	-3.404
-0.169	-3.256
-0.160	-3.244
-0.159	-3.098
-0.154	-2.891
-0.153	-2.729
-0.150	-2.691
-0.146	-2.482
-0.138	-2.284
-0.140	-2.145
-0.140	-2.019
-0.125	-2.019
-0.129	-1.866
-0.125	-1.637
-0.118	-1.432
-0.119	-1.218
-0.122	-1.042
-0.109	-0.866
-0.110	-0.712
-0.107	-0.642
-0.109	-0.570
-0.113	-0.463
-0.108	-0.363
-0.098	-0.249
-0.082	-0.004
-0.090	-0.009
-0.085	-0.009
-0.082	-0.009
-0.086	-0.013
-0.078	-0.009
-0.074	-0.009
-0.073	-0.009
-0.070	-0.009
-0.076	-0.013
-0.067	-0.009
-0.071	-0.012
-0.057	-0.009
-0.052	-0.009
-0.050	-0.009
-0.046	-0.009
-0.041	-0.009
-0.043	-0.011
-0.032	-0.009
-0.032	-0.009
-0.029	-0.008
-0.026	-0.009
-0.017	-0.010
-0.025	-0.013
-0.019	-0.009
-0.013	-0.008
-0.012	-0.008
-0.019	-0.010
-0.017	-0.010
-0.015	-0.009
-0.020	-0.013
-0.013	-0.009
-0.013	-0.009
-0.013	-0.009
-0.013	-0.010
-0.014	-0.009
