CH1 (V)	CH2 (V)
0.283	14.006
0.283	13.990
0.273	14.069
0.263	13.975
0.257	14.061
0.255	14.082
0.248	14.109
0.244	14.117
0.236	14.109
0.245	13.944
0.232	13.906
0.237	13.792
0.235	13.662
0.232	13.568
0.229	13.408
0.225	13.354
0.225	13.107
0.223	13.038
0.221	12.870
0.220	12.826
0.204	12.631
0.207	12.462
0.204	12.314
0.201	12.087
0.180	11.905
0.192	11.691
0.189	11.457
0.186	11.328
0.183	11.123
0.185	10.935
0.179	10.775
0.175	10.573
0.171	10.320
0.171	10.174
0.174	10.019
0.162	9.881
0.158	9.689
0.161	9.409
0.152	9.299
0.155	9.039
0.151	8.837
0.149	8.682
0.147	8.449
0.141	8.309
0.141	8.106
0.130	7.864
0.126	7.590
0.120	7.302
0.117	7.057
0.114	6.762
0.110	6.452
0.119	6.237
0.121	6.022
0.117	5.757
0.108	5.485
0.102	5.224
0.089	4.861
0.085	4.562
0.084	4.174
0.080	3.855
0.077	3.631
0.074	3.316
0.071	2.960
0.067	2.684
0.064	2.345
0.064	2.049
0.062	1.770
0.054	1.436
0.048	1.043
0.045	0.627
0.041	0.181
0.037	0.001
0.031	-0.000
0.032	0.002
0.029	0.002
0.024	-0.002
0.025	0.001
0.018	-0.001
0.018	-0.002
0.021	0.000
0.016	0.002
0.008	-0.002
0.002	-0.004
0.001	-0.003
0.002	-0.003
0.002	-0.003
0.001	-0.003
0.002	-0.003
-0.000	-0.004
0.002	-0.004
-0.000	-0.004
0.000	-0.004
0.001	-0.004
0.000	-0.005
0.001	-0.003
0.001	-0.003
-0.000	-0.005
0.001	-0.004
-0.002	-0.004
-0.000	-0.004
