Time (S)	CHA (V)	CH1 (V)
0.000	0.251	4.558
0.026	0.251	4.672
0.050	0.251	4.705
0.075	0.250	4.759
0.101	0.251	4.864
0.125	0.251	4.900
0.151	0.251	4.959
0.175	0.251	5.022
0.200	0.251	5.095
0.225	0.251	5.174
0.250	0.251	5.162
0.275	0.250	5.205
0.301	0.252	5.285
0.325	0.251	5.347
0.350	0.251	5.405
0.375	0.251	5.447
0.400	0.251	5.457
0.425	0.251	5.529
0.452	0.251	5.570
0.476	0.251	5.598
0.500	0.252	5.664
0.526	0.251	5.735
0.550	0.251	5.746
0.575	0.252	5.738
0.600	0.251	5.783
0.625	0.251	5.854
0.651	0.252	5.872
0.675	0.251	5.925
0.700	0.251	5.917
0.725	0.251	5.990
0.750	0.251	6.002
0.775	0.251	6.076
0.800	0.251	6.105
0.825	0.251	6.146
0.851	0.251	6.186
0.875	0.251	6.211
0.901	0.251	6.220
0.925	0.251	6.228
0.950	0.251	6.215
0.976	0.251	6.262
1.000	0.252	6.259
1.026	0.251	6.290
1.051	0.251	6.309
1.075	0.251	6.339
1.101	0.251	6.347
1.125	0.251	6.403
1.151	0.251	6.399
1.175	0.251	6.436
1.200	0.251	6.466
1.226	0.251	6.488
1.250	0.251	6.498
1.275	0.251	6.521
1.300	0.251	6.524
1.325	0.251	6.554
1.350	0.251	6.564
1.375	0.251	6.587
1.401	0.251	6.589
1.425	0.251	6.617
1.450	0.251	6.641
1.477	0.251	6.721
1.500	0.251	6.721
1.525	0.251	6.748
1.550	0.251	6.778
1.575	0.251	6.808
1.600	0.251	6.800
1.625	0.251	6.813
1.650	0.251	6.817
1.675	0.251	6.829
1.701	0.251	6.804
1.725	0.251	6.855
1.750	0.251	6.853
1.776	0.251	6.871
1.800	0.251	6.873
1.825	0.251	6.879
1.851	0.251	6.873
1.875	0.251	6.912
1.900	0.001	6.910
1.925	0.001	6.858
1.951	0.001	6.785
1.976	0.001	6.721
2.000	0.001	6.650
2.025	0.001	6.572
2.050	0.001	6.479
2.075	0.001	6.435
2.101	0.001	6.338
2.125	0.001	6.279
2.151	0.001	6.203
2.175	0.001	6.113
2.200	0.001	6.000
2.225	0.001	5.949
2.250	0.001	5.876
2.275	0.001	5.824
2.301	0.001	5.737
2.325	0.001	5.664
2.350	0.001	5.600
2.375	0.001	5.587
2.400	0.001	5.503
2.425	0.001	5.393
2.452	0.001	5.332
2.475	0.001	5.276
2.500	0.001	5.198
2.525	0.001	5.168
2.552	0.001	5.056
2.575	0.001	4.997
2.601	0.001	4.895
2.625	0.001	4.871
2.650	0.002	4.782
2.675	0.001	4.722
2.700	0.001	4.619
2.725	0.001	4.624
2.750	0.001	4.501
2.775	0.001	4.456
2.801	0.001	4.391
2.825	0.001	4.312
2.850	0.001	4.246
2.875	0.001	4.245
2.900	0.001	4.122
2.925	0.001	4.066
2.950	0.001	4.044
2.975	0.001	3.964
3.001	0.001	3.848
3.025	0.001	3.808
3.050	0.001	3.770
3.075	0.001	3.749
3.100	0.000	3.647
3.125	0.001	3.583
3.151	0.001	3.494
3.175	0.001	3.448
3.202	0.001	3.377
3.225	0.001	3.324
3.250	0.001	3.270
3.275	0.001	3.208
3.301	0.001	3.168
3.325	0.001	3.099
3.351	0.001	3.033
3.375	0.001	2.975
3.400	0.001	2.931
3.426	0.001	2.905
3.450	0.001	2.855
3.475	0.001	2.809
3.500	0.001	2.756
3.525	0.001	2.703
3.550	0.001	2.600
