CH1 (V)	CH2 (V)	CH3 (V)
0.487	0.484	-1.023
0.484	0.484	-1.025
0.486	0.484	-1.023
0.485	0.484	-1.024
0.485	0.484	-1.024
0.577	0.576	-1.072
0.715	0.714	-1.397
0.807	0.806	-1.634
0.975	0.974	-1.875
1.100	1.097	-2.159
1.237	1.235	-2.467
1.345	1.345	-2.668
1.469	1.467	-2.916
1.653	1.651	-3.234
1.820	1.818	-3.586
1.914	1.911	-3.798
2.041	2.039	-4.038
2.177	2.176	-4.356
2.301	2.300	-4.588
2.406	2.405	-4.821
2.500	2.497	-5.020
2.690	2.688	-5.325
2.746	2.744	-5.505
2.850	2.848	-5.703
2.926	2.924	-5.849
3.041	3.040	-6.063
3.129	3.127	-6.274
3.208	3.206	-6.428
3.289	3.287	-6.621
3.393	3.391	-6.794
3.466	3.465	-6.959
3.557	3.553	-7.128
3.671	3.669	-7.312
3.609	3.607	-7.347
3.609	3.608	-7.275
3.671	3.669	-7.357
3.949	3.947	-7.764
4.085	4.084	-8.156
4.281	4.279	-8.535
4.405	4.402	-8.752
4.510	4.509	-9.003
4.604	4.602	-9.215
4.759	4.758	-9.431
4.874	4.871	-9.703
4.935	4.931	-9.884
5.072	5.071	-10.148
5.195	5.193	-10.385
5.282	5.279	-10.584
5.414	5.412	-10.814
5.543	5.542	-11.101
5.639	5.636	-11.295
5.749	5.748	-11.493
5.848	5.846	-11.707
5.979	5.979	-11.768
6.126	6.124	-11.777
6.257	6.255	-11.780
6.346	6.343	-11.782
6.409	6.407	-11.780
6.591	6.587	-11.778
6.703	6.700	-11.778
6.860	6.857	-11.778
6.986	6.983	-11.776
7.086	7.083	-11.775
7.086	7.084	-11.775
7.086	7.083	-11.776
7.269	7.265	-11.774
7.512	7.511	-11.772
7.702	7.699	-11.771
7.912	7.908	-11.770
8.062	8.058	-11.768
8.207	8.205	-11.768
8.386	8.381	-11.767
8.573	8.570	-11.764
8.708	8.707	-11.764
8.855	8.854	-11.765
8.969	8.966	-11.763
9.087	9.085	-11.763
9.243	9.240	-11.763
9.371	9.367	-11.761
9.530	9.527	-11.759
9.637	9.635	-11.759
9.735	9.731	-11.758
9.838	9.834	-11.757
9.964	9.961	-11.757
10.129	10.127	-11.755
10.247	10.245	-11.754
10.335	10.332	-11.755
10.482	10.479	-11.753
10.527	10.525	-11.753
10.622	10.618	-11.751
10.729	10.726	-11.751
10.798	10.795	-11.749
10.939	10.937	-11.747
11.079	11.078	-11.749
11.174	11.170	-11.747
11.311	11.307	-11.747
11.417	11.413	-11.747
11.590	11.585	-11.745
11.692	11.689	-11.742
11.797	11.794	-11.742
