CH1 (V)	CH2 (V)	CH3 (V)
15.247	-0.002	-11.770
15.247	-0.001	-11.772
15.245	-0.002	-11.772
15.246	-0.001	-11.771
15.248	-0.002	-11.770
15.247	-0.002	-11.771
15.246	-0.002	-11.771
15.247	-0.002	-11.771
15.247	-0.002	-11.772
15.247	-0.002	-11.772
15.245	-0.002	-11.771
15.247	-0.002	-11.772
15.245	-0.002	-11.771
15.246	-0.002	-11.771
15.247	-0.002	-11.771
15.246	-0.001	-11.772
15.247	-0.002	-11.772
15.246	-0.002	-11.772
15.246	-0.003	-11.772
15.245	-0.004	-11.772
15.246	-0.002	-11.772
15.247	-0.003	-11.772
15.246	-0.002	-11.772
15.247	-0.001	-11.772
15.247	-0.002	-11.771
15.245	-0.002	-11.772
15.245	-0.002	-11.772
15.245	-0.003	-11.773
15.246	-0.002	-11.772
15.246	-0.002	-11.772
15.246	-0.003	-11.773
15.247	-0.002	-11.771
15.245	-0.002	-11.772
15.244	-0.004	-11.772
15.246	-0.003	-11.772
15.245	-0.002	-11.772
15.246	-0.002	-11.772
15.247	-0.002	-11.771
15.245	-0.002	-11.772
15.246	-0.002	-11.771
