CH1 (V)	CH2 (V)	CH3 (V)
0.649	-0.001	-0.002
0.775	-0.021	-0.011
1.834	-0.017	-0.007
2.538	-0.025	-0.012
3.130	-0.019	-0.016
3.601	-0.017	-0.009
4.237	-0.015	-0.009
4.864	-0.016	-0.009
5.332	-0.016	-0.009
5.708	-0.017	-0.011
6.147	-0.016	-0.009
6.591	-0.017	-0.011
6.893	-0.013	-0.007
7.240	-0.015	-0.007
7.674	-0.010	-0.010
7.894	-0.002	-0.004
8.247	0.000	-0.005
8.715	-0.000	-0.005
9.225	0.000	-0.004
9.709	0.006	-0.002
10.104	0.004	-0.003
10.358	0.002	-0.004
10.722	0.004	-0.004
11.332	0.012	0.001
11.732	0.014	0.000
12.015	0.014	0.002
12.213	0.016	0.002
12.455	0.010	-0.000
12.869	0.021	0.004
13.277	0.016	0.004
13.765	0.021	0.006
14.412	0.015	0.002
14.411	0.012	0.004
14.411	0.014	0.002
14.411	0.014	0.002
13.927	0.014	0.003
13.383	0.016	0.002
12.969	0.016	0.004
12.234	0.012	-0.001
11.596	0.002	-0.003
11.022	0.003	-0.001
10.441	0.011	0.005
9.921	0.002	-0.002
9.720	-0.001	-0.003
9.313	-0.002	-0.004
8.716	-0.002	-0.003
8.221	-0.004	-0.003
7.684	-0.002	-0.003
7.034	-0.002	-0.003
6.337	-0.007	-0.004
