	CH1 (V)	CH2 (V)	CH3 (V)
0	-13.466	-0.016	12.840687886576337
1	-13.468	-0.017	12.676260393767915
2	-12.306	-0.017	10.801486308856393
3	-11.793	-0.018000000000000002	11.050133285152539
4	-11.292	-0.018000000000000002	9.367467189482758
5	-11.014000000000001	-0.015	11.098240535087566
6	-10.607000000000001	-0.016	11.974984741610966
7	-9.936	-0.016	9.373126376923405
8	-9.332	-0.017	7.8834775184011425
9	-8.64	-0.019	7.545696324111809
10	-7.6979999999999995	-0.017	8.901029362602646
11	-6.944	-0.017	6.327398065148967
12	-5.358	-0.017	4.375889222843401
13	-4.309	-0.015	3.723470357990142
14	-3.448	-0.016	5.452468038035308
15	-2.742	-0.015	2.325022454386925
16	-2.1430000000000002	-0.017	1.3980438564056192
17	-1.672	-0.016	1.2343453346793456
18	-1.011	-0.017	0.6132479913556086
19	-0.282	-0.013000000000000001	-1.0756505311149704
20	0.397	-0.017	1.4745932300862972
21	0.887	-0.006	-0.390929354118327
22	1.3840000000000001	-0.004	-1.5456189222884391
23	1.882	-0.006999999999999999	-2.133607372595244
24	2.151	-0.011000000000000001	-0.9296176993428196
25	2.775	-0.015	-1.3535690001131513
26	3.33	-0.016	-2.7526220266077237
27	3.741	-0.004	-3.327920448176058
28	4.237	-0.011000000000000001	-3.3694349192493354
29	4.678999999999999	-0.005	-4.811967443301696
30	4.968	-0.006999999999999999	-5.362133719675306
31	5.471	-0.004	-4.433005995529811
32	5.925	-0.003	-5.219780193608893
33	6.406000000000001	-0.002	-7.388529102260074
34	6.915	-0.002	-6.428472842819159
35	7.274	0.0	-6.957399178764911
36	7.711	-0.004	-7.709367004371135
37	8.225	-0.002	-9.284011293823529
38	8.372	-0.0	-8.89296165983015
39	8.927	0.0	-8.276113465648601
40	9.397	-0.0	-11.034858236194236
41	9.835	0.002	-9.677834953332656
42	10.347999999999999	0.0	-10.769555860393263
43	10.720999999999998	0.0	-10.008311425176165
44	11.213	0.002	-11.49663189958409
45	11.592	0.002	-11.6774768557243
46	12.07	0.005	-12.214100727583387
47	12.587	0.001	-11.258066293239267
48	13.1	0.003	-11.873463672932143
49	13.685	0.009000000000000001	-13.273527512109764
