CH1 (V)	CH2 (V)	CH3 (V)
1.634	0.015	-3.195
1.634	0.014	-3.194
1.646	0.021	-3.189
1.634	0.013	-3.195
1.634	0.014	-3.196
1.634	0.015	-3.194
1.635	0.015	-3.194
1.635	0.014	-3.194
0.801	0.015	-3.196
-0.015	0.016	-3.197
-0.603	0.016	-3.198
-1.261	0.016	-3.200
-1.870	0.016	-3.196
-2.697	0.015	-3.050
-3.647	0.012	-2.589
-4.476	0.011	-2.130
-5.201	0.013	-1.764
-5.884	0.012	-1.374
-5.977	0.014	-1.238
-6.792	0.013	-0.917
-7.690	0.001	-0.478
-8.557	0.003	-0.042
-9.315	0.002	-0.002
-10.294	0.003	-0.003
-11.305	0.002	-0.002
-12.144	0.002	-0.002
-13.176	0.002	-0.002
-14.112	-0.002	-0.002
-14.112	-0.000	0.895
-14.117	-0.001	4.481
-13.892	-0.002	4.476
-13.674	0.003	4.471
-13.691	-0.000	4.468
-13.700	-0.002	4.466
-13.704	-0.002	4.464
-13.711	-0.004	4.464
-13.713	-0.002	4.464
-12.926	-0.002	4.465
-11.430	0.002	4.470
-10.282	-0.004	4.470
-9.012	-0.007	4.470
-7.712	-0.007	4.473
-6.581	-0.007	4.477
-5.208	-0.007	4.478
-3.653	-0.007	4.481
-2.179	-0.016	4.481
0.069	-0.011	4.487
0.560	-0.012	4.318
2.104	-0.014	3.677
3.139	-0.013	3.139
