CH1 (V)	CH2 (V)	CH3 (V)	IPot (Deg)	OPot (Deg)
1.436	0.018	0.035	14.36	0.35
1.433	0.014	0.027	14.33	0.27
1.432	0.013	0.026	14.32	0.26
1.432	0.014	0.027	14.32	0.27
1.444	0.023	0.042	14.44	0.42
1.438	0.016	0.029	14.38	0.29
1.435	0.015	0.028	14.35	0.28
1.432	0.014	0.027	14.32	0.27
1.432	0.013	0.026	14.32	0.26
1.432	0.014	0.027	14.32	0.27
1.430	0.012	0.023	14.30	0.23
1.442	0.023	0.044	14.42	0.44
1.436	0.015	0.030	14.36	0.30
1.432	0.014	0.028	14.32	0.28
1.434	0.016	0.030	14.34	0.30
1.432	0.015	0.027	14.32	0.27
1.432	0.014	0.028	14.32	0.28
1.432	0.012	0.025	14.32	0.25
1.432	0.012	0.026	14.32	0.26
1.432	0.012	0.026	14.32	0.26
