CH1 (V)	CH2 (V)	CH3 (V)	IPot (Deg)	OPot (Deg)
1.434	0.012	0.021	14.34	0.21
1.423	-0.006	-0.012	14.23	-0.12
1.422	-0.007	-0.013	14.22	-0.13
1.423	-0.004	-0.004	14.23	-0.04
1.415	-0.013	-0.025	14.15	-0.25
1.417	-0.013	-0.023	14.17	-0.23
1.423	-0.004	-0.006	14.23	-0.06
1.415	-0.015	-0.028	14.15	-0.28
1.415	-0.015	-0.027	14.15	-0.27
1.409	-0.019	-0.036	14.09	-0.36
1.413	-0.018	-0.033	14.13	-0.33
1.411	-0.019	-0.035	14.11	-0.35
1.411	-0.018	-0.034	14.11	-0.34
1.412	-0.018	-0.033	14.12	-0.33
1.411	-0.019	-0.035	14.11	-0.35
1.404	-0.023	-0.045	14.04	-0.45
1.411	-0.018	-0.035	14.11	-0.35
1.412	-0.019	-0.037	14.12	-0.37
1.412	-0.019	-0.034	14.12	-0.34
1.406	-0.023	-0.045	14.06	-0.45
