CH1 (V)	CH2 (V)	CH3 (V)	IPot (Deg)	OPot (Deg)
-6.925	0.018	6.314	-69.25	63.14
-5.546	0.003	6.319	-55.46	63.19
-3.171	-0.063	6.324	-31.71	63.24
-2.545	-0.111	6.282	-25.45	62.82
-2.570	-0.117	6.031	-25.70	60.31
-2.567	-0.102	5.567	-25.67	55.67
-2.565	-0.082	5.058	-25.65	50.58
-2.566	-0.072	4.758	-25.66	47.58
-2.564	-0.067	4.744	-25.64	47.44
-2.565	-0.068	4.744	-25.65	47.44
-1.572	-0.078	4.750	-15.72	47.50
0.482	-0.136	4.681	4.82	46.81
0.760	-0.153	3.688	7.60	36.88
0.759	-0.107	1.798	7.59	17.98
0.760	-0.046	0.101	7.60	1.01
0.760	-0.006	-0.846	7.60	-8.46
0.750	0.008	-1.172	7.50	-11.72
0.761	0.016	-1.163	7.61	-11.63
0.753	0.012	-1.171	7.53	-11.71
0.760	0.016	-1.163	7.60	-11.63
