CH1 (V)	CH2 (V)	CH3 (V)	IPot (Deg)	OPot (Deg)
0.461	0.018	-1.039	4.61	-10.39
-1.057	0.036	-1.039	-10.57	-10.39
-4.636	0.137	-0.935	-46.36	-9.35
-7.726	0.232	-0.065	-77.26	-0.65
-7.953	0.185	3.809	-79.53	38.09
-7.955	0.046	8.346	-79.55	83.46
-7.950	-0.086	12.287	-79.50	122.87
-7.950	-0.169	13.598	-79.50	135.98
-7.950	-0.167	12.568	-79.50	125.68
-7.957	-0.110	10.315	-79.57	103.15
-7.954	-0.036	8.119	-79.54	81.19
-7.956	0.018	6.739	-79.56	67.39
-7.954	0.047	6.283	-79.54	62.83
-7.957	0.050	6.291	-79.57	62.91
-7.954	0.052	6.293	-79.54	62.93
-7.953	0.052	6.291	-79.53	62.91
-7.956	0.052	6.290	-79.56	62.90
-7.956	0.052	6.291	-79.56	62.91
-7.950	0.055	6.293	-79.50	62.93
-7.954	0.052	6.290	-79.54	62.90
