Time (S)	CHA (V)	CH2 (V)	CH3 (V)
0.000	2.001	-0.038	-1.177
0.025	2.001	-0.038	-1.176
0.050	2.001	-0.039	-1.177
0.075	2.001	-0.038	-1.176
0.100	2.001	-0.039	-1.177
0.125	2.001	-0.039	-1.176
0.150	2.001	-0.039	-1.177
0.175	2.001	-0.039	-1.176
0.200	2.001	-0.039	-1.177
0.225	2.001	-0.040	-1.176
0.251	2.001	-0.038	-1.177
0.275	2.000	-0.038	-1.176
0.300	2.001	-0.039	-1.177
0.325	2.001	-0.039	-1.176
0.350	2.001	-0.039	-1.178
0.375	2.001	-0.038	-1.177
0.400	2.001	-0.039	-1.178
0.425	2.001	-0.038	-1.177
0.451	2.001	-0.041	-1.180
0.475	2.001	-0.038	-1.177
0.500	2.001	-0.040	-1.177
0.525	2.001	-0.038	-1.176
0.550	2.001	-0.038	-1.177
0.575	2.001	-0.038	-1.176
0.600	2.001	-0.040	-1.177
0.625	2.001	-0.039	-1.177
0.650	2.001	-0.040	-1.178
0.675	2.001	-0.041	-1.177
0.700	2.001	-0.042	-1.178
0.725	2.001	-0.041	-1.178
0.750	2.001	-0.043	-1.177
0.775	2.001	-0.042	-1.177
0.800	2.001	-0.044	-1.177
0.825	2.001	-0.044	-1.177
0.850	2.001	-0.046	-1.177
0.875	2.001	-0.045	-1.176
0.900	2.001	-0.046	-1.177
0.925	2.001	-0.047	-1.177
0.950	2.001	-0.048	-1.179
0.975	2.001	-0.048	-1.177
1.001	2.001	-0.050	-1.179
1.025	2.001	-0.050	-1.176
1.050	2.001	-0.052	-1.179
1.075	2.001	-0.051	-1.176
1.100	2.001	-0.052	-1.177
1.125	2.001	-0.054	-1.177
1.150	2.001	-0.055	-1.177
1.175	2.001	-0.055	-1.177
1.200	2.001	-0.056	-1.179
1.225	2.001	-0.057	-1.177
1.251	2.001	-0.059	-1.178
1.275	2.001	-0.059	-1.177
1.301	2.001	-0.063	-1.179
1.325	2.001	-0.062	-1.177
1.350	2.001	-0.065	-1.177
1.375	-1.999	-0.026	-1.173
1.400	-1.998	0.022	-1.177
1.425	-1.999	0.068	-1.177
1.450	-1.999	0.106	-1.177
1.475	-1.999	0.136	-1.178
1.500	-1.999	0.159	-1.178
1.525	-1.999	0.180	-1.175
1.550	-1.999	0.192	-1.174
1.575	-1.998	0.207	-1.073
1.601	-1.999	0.211	-0.933
1.625	-1.999	0.215	-0.797
1.650	-1.999	0.213	-0.641
1.675	-1.999	0.211	-0.424
1.701	-1.999	0.204	-0.184
1.725	-1.999	0.196	0.085
1.750	-1.999	0.184	0.314
1.775	-1.999	0.172	0.563
1.800	-1.999	0.155	0.904
1.825	-1.999	0.140	1.220
1.851	-1.999	0.117	1.517
1.875	-1.999	0.100	1.866
1.900	-1.999	0.077	2.212
1.925	-1.999	0.054	2.582
1.950	-1.999	0.030	2.920
1.975	-1.999	0.006	3.268
2.000	-1.999	-0.021	3.584
2.025	-1.999	-0.044	3.813
2.050	-1.998	-0.069	4.067
2.075	-1.999	-0.091	4.347
2.101	-1.999	-0.116	4.621
2.125	-1.999	-0.135	4.809
2.150	-1.999	-0.157	4.968
2.175	-1.999	-0.174	5.084
2.200	-1.998	-0.192	5.147
2.225	-1.999	-0.203	5.158
2.250	-1.999	-0.215	5.114
2.275	-1.999	-0.221	5.114
2.300	-1.999	-0.228	5.114
2.325	-1.999	-0.231	5.036
2.350	-1.999	-0.234	4.846
2.375	-1.999	-0.230	4.648
2.401	-1.999	-0.226	4.391
2.425	-1.999	-0.216	4.127
2.451	-1.999	-0.206	3.800
2.476	-1.999	-0.183	3.479
2.500	-1.999	-0.174	3.187
2.525	-1.998	-0.154	2.839
2.550	-1.999	-0.134	2.510
2.575	-1.999	-0.112	2.189
2.600	-1.999	-0.090	1.838
2.625	-1.999	-0.066	1.490
2.650	-1.999	-0.042	1.141
2.675	-1.999	-0.015	0.858
2.700	-1.999	0.006	0.576
2.725	-1.999	0.032	0.319
2.750	-1.999	0.054	0.062
2.775	-1.998	0.078	-0.219
2.800	-1.999	0.098	-0.445
2.825	-1.999	0.121	-0.616
2.850	-1.999	0.138	-0.781
2.875	-1.999	0.158	-0.964
2.900	-1.999	0.174	-1.097
2.925	-1.999	0.191	-1.146
2.951	-1.999	0.201	-1.092
2.975	-1.999	0.210	-1.044
3.000	-1.999	0.215	-1.046
3.025	-1.999	0.223	-1.045
3.050	-1.999	0.223	-0.896
3.075	-1.999	0.225	-0.731
3.100	-1.999	0.217	-0.508
3.126	-1.999	0.217	-0.234
3.150	-1.999	0.202	0.031
3.175	-1.998	0.192	0.285
3.201	-1.999	0.171	0.559
3.225	-1.999	0.161	0.901
3.250	-1.999	0.142	1.248
3.275	-1.999	0.123	1.563
3.301	-1.999	0.098	1.960
3.325	-1.999	0.077	2.316
3.350	-1.999	0.051	2.691
3.375	-1.998	0.026	3.080
3.400	-1.999	-0.002	3.460
3.425	-1.999	-0.029	3.746
3.451	-1.999	-0.061	4.020
3.475	-1.999	-0.078	4.330
3.500	-1.999	-0.105	4.625
3.525	-1.999	-0.128	4.862
3.551	-1.999	-0.153	5.058
3.575	-1.999	-0.172	5.211
3.600	-1.999	-0.192	5.326
3.625	-1.999	-0.207	5.392
3.650	-1.998	-0.222	5.345
3.675	-1.999	-0.229	5.308
3.700	-1.999	-0.239	5.310
3.726	-1.999	-0.244	5.274
3.751	-1.999	-0.251	5.118
3.775	-1.999	-0.246	4.938
3.801	-1.999	-0.244	4.644
3.825	-1.999	-0.231	4.370
3.850	-1.999	-0.222	4.033
3.875	-1.999	-0.207	3.694
3.900	-1.999	-0.190	3.353
3.925	-1.999	-0.170	3.001
3.950	-1.999	-0.150	2.639
3.975	-1.999	-0.126	2.269
4.001	-1.999	-0.104	1.859
4.025	-1.999	-0.076	1.504
4.051	-1.999	-0.050	1.097
4.075	-1.999	-0.022	0.803
4.100	-1.999	0.004	0.501
4.125	-1.999	0.031	0.188
4.150	-1.999	0.055	-0.126
4.175	-1.999	0.083	-0.403
4.200	-1.999	0.106	-0.620
4.225	-1.999	0.129	-0.853
4.251	-1.999	0.150	-1.146
4.275	-1.999	0.175	-1.305
4.301	-1.999	0.188	-1.422
4.325	-1.999	0.210	-1.451
