Time (S)	CHA (V)	CH2 (V)	CH3 (V)
0.000	2.000	-0.102	-0.127
0.026	2.001	-0.090	-0.113
0.050	2.001	-0.103	-0.129
0.075	2.001	-0.094	-0.117
0.100	2.001	-0.103	-0.128
0.125	2.001	-0.093	-0.117
0.151	2.001	-0.103	-0.117
0.175	2.001	-0.093	-0.138
0.200	2.001	-0.103	-0.168
0.225	2.001	-0.093	-0.168
0.250	2.001	-0.102	-0.188
0.275	2.001	-0.092	-0.192
0.300	2.001	-0.100	-0.212
0.325	2.001	-0.090	-0.205
0.350	2.001	-0.100	-0.227
0.375	2.001	-0.088	-0.231
0.400	2.001	-0.099	-0.257
0.425	2.001	-0.089	-0.256
0.450	2.001	-0.098	-0.276
0.475	2.001	-0.088	-0.272
0.500	2.001	-0.097	-0.284
0.525	2.001	-0.087	-0.275
0.550	2.001	-0.096	-0.285
0.575	2.001	-0.087	-0.272
0.600	2.001	-0.096	-0.284
0.625	2.001	-0.086	-0.272
0.650	2.001	-0.096	-0.285
0.675	2.001	-0.086	-0.272
0.700	2.001	-0.096	-0.283
0.725	2.001	-0.086	-0.272
0.750	2.001	-0.096	-0.285
0.775	-1.999	-0.063	-0.272
0.800	-1.999	-0.038	-0.284
0.825	-1.999	0.003	-0.271
0.851	-1.999	0.018	-0.282
0.875	-1.999	0.045	-0.270
0.900	-1.999	0.052	-0.280
0.925	-1.998	0.073	-0.269
0.950	-1.999	0.072	-0.283
0.975	-1.999	0.090	-0.267
1.000	-1.999	0.086	-0.271
1.025	-1.999	0.099	-0.258
1.050	-1.999	0.093	-0.269
1.075	-1.999	0.107	-0.253
1.100	-1.999	0.099	-0.261
1.126	-1.999	0.113	-0.226
1.151	-1.999	0.102	-0.246
1.175	-1.999	0.112	-0.213
1.200	-1.999	0.102	-0.211
1.225	-1.999	0.112	-0.201
1.250	-1.999	0.109	-0.207
1.275	-1.999	0.113	-0.201
1.300	-1.999	0.104	-0.212
1.325	-1.999	0.115	-0.199
1.350	-1.999	0.104	-0.211
1.375	-1.999	0.114	-0.202
1.401	-1.999	0.102	-0.215
1.425	-1.999	0.114	-0.200
1.450	-1.999	0.104	-0.213
1.475	-1.998	0.112	-0.178
1.500	-1.999	0.103	-0.141
1.525	-1.999	0.114	-0.077
1.550	-1.999	0.102	-0.029
1.575	-1.999	0.108	0.036
1.600	-1.999	0.098	0.071
1.625	-1.999	0.106	0.131
1.650	-1.999	0.095	0.162
1.675	-1.999	0.102	0.231
1.700	-1.999	0.090	0.277
1.725	-1.999	0.097	0.342
1.750	-1.999	0.084	0.396
1.775	-1.999	0.091	0.456
1.800	-1.999	0.080	0.493
1.826	-1.999	0.087	0.556
1.851	-1.999	0.075	0.596
1.875	-1.999	0.081	0.664
1.901	-1.999	0.067	0.718
1.925	-1.999	0.076	0.785
1.950	-1.999	0.067	0.818
1.975	-1.999	0.073	0.871
2.000	-1.999	0.059	0.893
2.026	-1.999	0.068	0.936
2.050	-1.999	0.054	0.969
2.075	-1.999	0.062	0.996
2.100	-1.999	0.052	0.987
2.125	-1.999	0.059	0.999
2.151	-1.999	0.048	0.987
2.175	-1.999	0.052	0.995
2.200	-1.999	0.046	0.989
2.225	-1.999	0.054	0.997
2.250	-1.999	0.043	0.985
2.275	-1.999	0.054	1.000
2.300	-1.999	0.044	0.988
2.326	-1.999	0.057	1.002
2.350	-1.999	0.044	0.987
2.375	-1.999	0.053	0.998
2.401	-1.999	0.044	0.989
2.425	-1.999	0.056	1.001
2.450	-1.999	0.044	0.989
2.475	-1.999	0.055	1.002
2.500	-1.999	0.044	0.989
2.525	-1.999	0.052	0.999
2.550	-1.999	0.044	0.989
2.575	-1.999	0.052	0.999
2.600	-1.999	0.044	0.990
2.625	-1.999	0.055	1.003
2.651	-1.999	0.042	0.991
2.675	-1.999	0.057	1.007
2.701	-1.998	0.044	0.993
2.726	-1.998	0.058	1.006
2.750	-1.999	0.041	0.993
2.775	-1.999	0.058	1.010
2.800	-1.999	0.043	0.993
2.826	-1.999	0.054	1.004
2.851	-1.999	0.041	0.991
2.875	-1.999	0.058	1.010
2.900	-1.999	0.042	0.993
2.925	-1.998	0.055	1.006
2.951	-1.999	0.044	0.993
2.975	-1.999	0.048	1.002
3.000	-1.999	0.042	0.993
3.025	-1.999	0.050	1.003
3.051	-1.999	0.044	0.995
3.075	-1.999	0.054	1.007
3.100	-1.999	0.044	0.994
3.125	-1.999	0.049	1.000
3.151	-1.999	0.043	0.995
3.175	-1.999	0.058	1.012
3.200	-1.999	0.048	1.001
3.225	-1.999	0.056	1.010
3.250	-1.999	0.039	0.988
3.275	-1.999	0.058	1.012
3.300	-1.999	0.040	0.989
3.325	-1.999	0.055	1.007
3.350	-1.999	0.039	0.988
3.375	-1.999	0.060	1.012
3.400	-1.999	0.038	0.988
3.425	-1.999	0.052	1.005
3.450	-1.999	0.037	0.989
3.475	-1.999	0.056	1.010
3.500	-1.999	0.037	0.989
3.525	-1.999	0.052	1.004
3.550	-1.998	0.042	0.991
3.575	-1.999	0.058	1.010
3.600	-1.999	0.039	0.987
3.625	-1.999	0.053	1.004
3.650	-1.999	0.038	0.989
3.675	-1.999	0.055	1.007
3.700	-1.998	0.038	0.989
3.725	-1.999	0.051	1.004
3.750	-1.999	0.042	0.993
3.775	-1.999	0.058	1.009
3.800	-1.999	0.040	0.990
3.825	-1.999	0.057	1.008
3.851	-1.999	0.043	0.995
3.875	-1.999	0.055	1.008
3.901	-1.999	0.044	0.994
3.925	-1.999	0.053	1.006
3.950	-1.999	0.041	0.990
3.975	-1.999	0.054	1.006
4.000	-1.999	0.040	0.993
4.025	-1.999	0.056	1.007
4.050	-1.999	0.042	0.993
4.075	-1.999	0.057	1.008
4.101	-1.999	0.043	0.995
4.125	-2.000	0.052	1.003
4.151	-2.000	0.045	0.994
