CH1 (V)	CH2 (V)	CH3 (V)	IPot (Deg)	OPot (Deg)
1.398	0.016	0.029	13.98	0.29
1.393	0.011	0.020	13.93	0.20
1.483	-0.008	-0.015	14.83	-0.15
1.567	-0.019	-0.036	15.67	-0.36
1.729	-0.002	-0.004	17.29	-0.04
1.926	0.014	0.029	19.26	0.29
2.009	0.010	0.019	20.09	0.19
2.089	-0.017	-0.030	20.89	-0.30
2.198	-0.023	-0.040	21.98	-0.40
2.424	-0.001	-0.000	24.24	-0.00
2.564	0.018	0.033	25.64	0.33
2.689	0.013	0.025	26.89	0.25
2.810	-0.005	-0.009	28.10	-0.09
2.905	-0.016	-0.027	29.05	-0.27
3.018	-0.002	-0.004	30.18	-0.04
3.127	0.012	0.027	31.27	0.27
3.275	0.017	0.033	32.75	0.33
3.391	-0.003	-0.006	33.91	-0.06
3.486	-0.009	-0.020	34.86	-0.20
3.565	-0.007	-0.009	35.65	-0.09
