Time (S)	CHA (V)	CH1 (V)	CH2 (V)	CH3 (V)
0.000	-0.999	0.063	-0.007	0.929
0.025	-0.999	0.090	0.004	0.943
0.050	-0.999	0.072	-0.003	0.934
0.075	-0.999	0.090	0.004	0.943
0.100	-1.000	0.060	-0.011	0.926
0.125	-0.999	0.089	0.004	0.943
0.151	-0.999	0.062	-0.008	0.928
0.175	-0.999	0.074	-0.003	0.936
0.201	-1.000	0.064	-0.007	0.930
0.225	-1.000	0.078	-0.004	0.935
0.250	-0.999	0.052	-0.013	0.925
0.275	-0.999	0.085	0.004	0.941
0.300	-0.999	0.071	-0.006	0.930
0.325	-0.999	0.092	0.006	0.943
0.350	-0.999	0.054	-0.011	0.925
0.375	-0.999	0.082	0.001	0.939
0.400	-0.999	0.052	-0.014	0.922
0.426	-0.999	0.087	0.002	0.939
0.450	-0.999	0.056	-0.011	0.926
0.475	-0.999	0.075	-0.004	0.934
0.500	-1.000	0.058	-0.010	0.926
0.525	-0.999	0.089	0.006	0.945
0.550	-1.000	0.057	-0.010	0.926
0.575	-1.000	0.085	0.003	0.941
0.600	-0.999	0.062	-0.010	0.927
0.625	-0.999	0.083	0.001	0.939
0.650	-0.999	0.051	-0.013	0.924
0.676	-0.999	0.084	0.001	0.939
0.701	-0.999	0.067	-0.006	0.930
0.725	-1.000	0.083	0.000	0.939
0.750	-0.999	0.053	-0.013	0.926
0.775	1.001	-0.158	0.001	0.937
0.800	1.001	-0.513	0.202	0.919
0.825	1.000	-0.773	0.515	0.821
0.851	1.001	-1.004	0.755	0.657
0.875	1.001	-1.097	0.871	0.500
0.900	1.001	-1.180	0.964	0.252
0.925	1.001	-1.134	1.033	0.029
0.950	1.001	-1.123	1.008	-0.238
0.975	1.001	-0.997	1.003	-0.441
1.001	1.001	-0.894	0.937	-0.640
1.025	1.001	-0.747	0.895	-0.843
1.050	1.001	-0.620	0.736	-1.096
1.075	1.001	-0.434	0.572	-1.264
1.100	1.001	-0.295	0.405	-1.399
1.125	1.001	-0.123	0.271	-1.470
1.151	1.001	0.003	0.110	-1.523
1.175	1.001	0.125	0.009	-1.526
1.200	1.001	0.182	-0.061	-1.507
1.225	1.001	0.261	-0.109	-1.434
1.250	1.001	0.280	-0.172	-1.442
1.275	1.001	0.331	-0.196	-1.431
1.301	1.001	0.335	-0.232	-1.443
1.325	1.001	0.378	-0.248	-1.430
1.350	1.001	0.367	-0.279	-1.444
1.375	1.001	0.400	-0.280	-1.395
1.400	1.001	0.380	-0.301	-1.340
1.426	1.001	0.380	-0.285	-1.261
1.450	1.001	0.328	-0.282	-1.179
1.475	1.001	0.311	-0.245	-1.115
1.500	1.001	0.247	-0.224	-1.062
1.525	1.001	0.220	-0.179	-0.997
1.551	1.001	0.155	-0.155	-0.965
1.575	1.001	0.133	-0.112	-0.923
1.600	1.001	0.072	-0.093	-0.911
1.625	1.001	0.054	-0.051	-0.881
1.650	1.001	0.004	-0.027	-0.892
1.676	1.001	-0.006	0.002	-0.888
1.700	1.001	-0.038	-0.007	-0.895
1.725	1.001	-0.032	0.002	-0.887
1.750	1.001	-0.073	-0.011	-0.902
1.775	1.001	-0.055	0.004	-0.881
1.800	1.001	-0.086	-0.006	-0.895
1.825	1.001	-0.069	0.003	-0.890
1.851	1.001	-0.090	-0.007	-0.906
1.875	1.001	-0.072	0.003	-0.898
1.900	1.001	-0.096	-0.007	-0.907
1.925	1.001	-0.075	0.002	-0.888
1.950	1.000	-0.102	-0.009	-0.901
1.975	1.001	-0.079	0.004	-0.885
2.000	1.001	-0.110	-0.011	-0.900
2.025	1.001	-0.080	0.004	-0.884
2.051	1.001	-0.098	-0.004	-0.893
2.075	1.001	-0.081	0.006	-0.885
2.100	1.001	-0.113	-0.010	-0.905
2.125	1.001	-0.088	0.002	-0.898
2.151	1.001	-0.105	-0.008	-0.912
2.176	1.001	-0.081	0.002	-0.906
2.200	1.001	-0.102	-0.009	-0.918
2.225	1.001	-0.072	0.004	-0.902
2.250	1.001	-0.105	-0.011	-0.921
2.275	1.001	-0.071	0.003	-0.904
2.301	1.001	-0.092	-0.006	-0.916
2.325	1.001	-0.073	0.003	-0.908
2.350	1.001	-0.098	-0.010	-0.919
2.375	1.001	-0.067	0.005	-0.904
2.400	1.001	-0.099	-0.011	-0.919
2.425	1.001	-0.074	0.001	-0.906
2.450	1.001	-0.100	-0.011	-0.919
2.475	1.001	-0.070	0.002	-0.902
2.500	1.001	-0.096	-0.010	-0.912
2.525	1.001	-0.075	0.002	-0.896
2.550	1.001	-0.103	-0.011	-0.909
2.575	1.001	-0.073	0.005	-0.891
2.600	1.001	-0.100	-0.009	-0.906
2.625	1.001	-0.076	0.004	-0.894
2.650	1.001	-0.107	-0.012	-0.909
2.675	1.001	-0.080	0.003	-0.895
2.700	1.001	-0.107	-0.009	-0.907
2.725	1.001	-0.078	0.004	-0.892
2.750	1.000	-0.108	-0.011	-0.910
2.775	1.001	-0.076	0.004	-0.896
2.800	1.001	-0.105	-0.009	-0.910
