Time (S)	CHA (V)	CH1 (V)	CH2 (V)	CH3 (V)
0.000	-1.000	0.080	-0.003	0.793
0.025	-0.999	0.080	-0.004	0.793
0.051	-1.000	0.077	-0.004	0.792
0.075	-0.999	0.081	-0.002	0.793
0.100	-0.999	0.082	-0.003	0.792
0.125	1.001	0.047	-0.003	0.793
0.150	1.001	-0.098	-0.001	0.792
0.175	1.001	-0.221	0.062	0.759
0.201	1.001	-0.318	0.152	0.730
0.225	1.001	-0.385	0.229	0.729
0.250	1.001	-0.440	0.302	0.730
0.275	1.001	-0.489	0.350	0.729
0.300	1.001	-0.524	0.394	0.728
0.325	1.001	-0.552	0.415	0.699
0.350	1.001	-0.570	0.446	0.651
0.375	1.001	-0.580	0.465	0.566
0.400	1.001	-0.582	0.462	0.491
0.425	1.001	-0.576	0.474	0.425
0.450	1.001	-0.566	0.461	0.324
0.475	1.001	-0.549	0.462	0.227
0.501	1.001	-0.530	0.439	0.142
0.525	1.001	-0.509	0.423	0.089
0.550	1.001	-0.487	0.401	0.004
0.575	1.001	-0.460	0.380	-0.106
0.600	1.001	-0.432	0.360	-0.187
0.625	1.001	-0.405	0.327	-0.236
0.650	1.001	-0.380	0.309	-0.283
0.675	1.001	-0.357	0.279	-0.311
0.700	1.001	-0.335	0.260	-0.358
0.725	1.001	-0.315	0.236	-0.403
0.750	1.001	-0.295	0.208	-0.443
0.775	1.001	-0.276	0.194	-0.476
0.800	1.001	-0.259	0.174	-0.512
0.825	1.001	-0.242	0.154	-0.541
0.850	1.001	-0.228	0.137	-0.576
0.875	1.001	-0.213	0.119	-0.589
0.900	1.001	-0.201	0.109	-0.611
0.925	1.001	-0.189	0.101	-0.631
0.950	1.001	-0.178	0.090	-0.651
0.975	1.001	-0.167	0.079	-0.668
1.000	1.001	-0.159	0.068	-0.688
1.025	1.001	-0.150	0.060	-0.697
1.050	1.001	-0.143	0.050	-0.708
1.075	1.001	-0.134	0.039	-0.709
1.100	1.001	-0.130	0.031	-0.720
1.125	1.001	-0.125	0.026	-0.724
1.150	1.001	-0.123	0.021	-0.728
