Time (S)	CHA (V)	CH1 (V)	CH2 (V)	CH3 (V)
0.000	1.001	0.297	-0.107	-1.641
0.025	1.001	0.388	-0.180	-1.637
0.050	1.001	0.423	-0.248	-1.647
0.075	1.001	0.482	-0.285	-1.528
0.100	1.001	0.467	-0.330	-1.371
0.126	1.000	0.428	-0.340	-1.174
0.150	1.001	0.350	-0.334	-0.999
0.176	1.000	0.257	-0.311	-0.825
0.200	1.001	0.156	-0.295	-0.709
0.225	1.001	0.057	-0.215	-0.581
0.251	1.001	-0.056	-0.125	-0.496
0.275	1.001	-0.136	-0.032	-0.472
0.300	1.001	-0.234	0.033	-0.482
0.325	1.000	-0.265	0.096	-0.553
0.350	1.001	-0.313	0.131	-0.560
0.375	1.001	-0.325	0.175	-0.551
0.400	1.000	-0.361	0.201	-0.559
0.425	1.001	-0.360	0.218	-0.610
0.450	1.000	-0.375	0.233	-0.695
0.475	1.001	-0.334	0.245	-0.803
0.500	1.001	-0.300	0.225	-0.970
0.525	1.001	-0.217	0.221	-1.108
0.551	1.001	-0.140	0.202	-1.228
0.575	1.001	-0.042	0.181	-1.328
0.600	1.001	0.031	0.106	-1.420
0.625	1.001	0.131	0.038	-1.447
0.650	1.001	0.186	-0.034	-1.449
0.675	1.001	0.244	-0.072	-1.368
0.700	1.001	0.257	-0.117	-1.381
0.726	1.001	0.292	-0.150	-1.377
0.750	1.001	0.304	-0.178	-1.379
0.775	1.001	0.332	-0.188	-1.345
0.800	1.001	0.305	-0.214	-1.237
0.826	1.001	0.281	-0.209	-1.109
0.850	1.000	0.229	-0.202	-1.008
0.876	1.001	0.181	-0.179	-0.897
0.900	1.001	0.110	-0.167	-0.838
0.926	1.001	0.049	-0.146	-0.767
0.950	1.001	-0.020	-0.113	-0.710
0.975	1.001	-0.063	-0.057	-0.671
1.000	1.000	-0.134	-0.011	-0.674
1.025	1.001	-0.155	0.027	-0.704
1.050	1.001	-0.191	0.043	-0.762
1.075	1.001	-0.184	0.069	-0.754
1.100	1.001	-0.210	0.076	-0.763
1.125	1.001	-0.201	0.094	-0.754
1.150	1.001	-0.217	0.099	-0.759
1.176	1.001	-0.216	0.106	-0.757
1.200	1.001	-0.230	0.107	-0.764
1.226	1.001	-0.228	0.113	-0.764
1.250	1.001	-0.234	0.115	-0.802
1.275	1.001	-0.205	0.124	-0.847
1.300	1.001	-0.199	0.110	-0.948
1.325	1.001	-0.146	0.108	-1.013
1.350	1.001	-0.117	0.087	-1.091
1.375	1.001	-0.053	0.075	-1.132
1.400	1.001	-0.024	0.056	-1.177
1.425	1.001	0.037	0.046	-1.200
1.451	1.001	0.069	0.016	-1.214
1.476	1.001	0.101	-0.007	-1.217
1.500	1.001	0.115	-0.019	-1.213
1.525	1.001	0.149	-0.020	-1.117
1.550	1.001	0.128	-0.040	-1.111
1.575	1.001	0.135	-0.041	-1.104
1.600	-1.000	0.221	-0.046	-1.107
1.625	-1.000	0.601	-0.176	-1.104
1.650	-0.999	0.897	-0.457	-1.113
1.675	-0.999	1.143	-0.689	-0.810
1.700	-0.999	1.233	-0.862	-0.442
1.725	-0.999	1.242	-0.961	0.037
1.751	-0.999	1.129	-1.000	0.453
1.776	-0.999	0.956	-0.981	0.992
1.800	-1.000	0.711	-0.926	1.438
1.825	-0.999	0.442	-0.658	1.878
1.850	-1.000	0.118	-0.403	2.177
1.875	-0.999	-0.144	-0.155	2.300
1.901	-0.999	-0.403	0.089	2.304
1.925	-0.999	-0.571	0.257	2.307
1.950	-0.999	-0.736	0.407	2.300
1.975	-1.000	-0.817	0.532	2.058
2.000	-0.999	-0.843	0.607	1.725
2.025	-0.999	-0.769	0.640	1.400
2.050	-1.000	-0.663	0.620	1.031
2.075	-0.999	-0.484	0.614	0.735
